ticker,name,ipo_date,current_stock_price,market_cap,sector,pe_ratio,gross_profit_margin,gross_profit,total_shares_outstanding,ps_ratio,total_revenue,revenue_growth_rate_last_year
CURV,Torrid Holdings,07/01/2021,19.61,2158668800,Consumer Cyclical,45.711,2.52,0,110080000,2.217,973514000,0.0
CVAC,CureVac,08/14/2020,41.08,7674935278.92,Healthcare,0,-264.21,34698000,186828999,157.045,48871000,279.699
CVII,Churchill Capital VII,02/12/2021,9.82,1693949950.9,Blank Check / SPAC,0,0.0,0,172499995,0.0,0,0.0
CVRX,CVRx,06/30/2021,14.34,291844797.66,Healthcare,0,-313.187,0,20351799,25.453,11466000,0.0
CWAN,Clearwater Analytics,09/24/2021,22.41,3976654589.64,Technology,0,-20.634,0,177450004,18.552,214356000,0.0
CXM,Sprinklr,06/23/2021,17.18,4381484034.1,Technology,0,-18.955,0,255033995,10.187,430115000,0.0
CYN,Cyngn,10/20/2021,6.53,172615985.53,Financials,0,0.0,0,26434301,0.0,0,0.0
CYT,Cyteir Therapeutics,06/18/2021,16.71,591047672.1600001,Healthcare,0,0.0,0,35370896,0.0,0,0.0
DADA,Dada Nexus,06/05/2020,23.07,5501848580.88,Consumer Discretionary,0,-35.873,196577692,238484984,5.532,994566307,49.967
DALS,DA32 Life Science Tech Acquisition,07/28/2021,9.81,258984019.62,Blank Check / SPAC,0,0.0,0,26400002,0.0,0,0.0
DASH,DoorDash,12/09/2020,228.81,78494867364.99,Consumer Discretionary,0,-10.97,2386000000,343056979,17.221,4558000000,105.872
DATS,DatChat,08/13/2021,5.34,104650121.34,Technology,0,0.0,0,19597401,0.0,0,0.0
DAWN,Day One Biopharmaceuticals,05/27/2021,20.11,1245390199.11,Healthcare,0,0.0,0,61928901,0.0,0,0.0
DBDR,Roman DBDR Tech Acquisition,11/06/2020,10.17,294370660.17,Blank Check / SPAC,0,0.0,0,28945001,0.0,0,0.0
DBGI,Digital Brands Group,05/14/2021,3.22,40660553.22,Consumer Cyclical,0,-583.037,0,12627501,9.371,4339144,0.0
DBTX,Decibel Therapeutics,02/12/2021,7.45,185679330,Healthcare,0,0.0,0,24923400,0.0,0,0.0
DCBO,Docebo,12/03/2020,77.05,2534945000,Technology,0,-28.128,0,32900000,35.344,71723000,0.0
DCRC,Decarbonization Plus Acquisition III,03/24/2021,12.72,556500038.1600001,Blank Check / SPAC,0,0.0,0,43750003,0.0,0,0.0
